Element,Attribute,Value,Subfigure
65,X,16.795865633074936,A
65,Y,0.460456853642595,A
66,X,17.05426356589147,A
66,Y,0.4541721832107124,A
67,X,17.31266149870801,A
67,Y,0.4533342271531281,A
68,X,17.57105943152455,A
68,Y,0.4277765673968057,A
69,X,17.829457364341085,A
69,Y,0.4210729189361309,A
70,X,18.087855297157624,A
70,Y,0.4177210947057936,A
71,X,18.34625322997416,A
71,Y,0.396772193266185,A
72,X,18.6046511627907,A
72,Y,0.3946773031222242,A
73,X,18.863049095607234,A
73,Y,0.3925824129782634,A
74,X,19.121447028423773,A
74,Y,0.3888116107191339,A
75,X,19.37984496124031,A
75,Y,0.3712145335098627,A
76,X,19.638242894056848,A
76,Y,0.3632539509628115,A
77,X,19.896640826873384,A
77,Y,0.3607400827900585,A
78,X,20.155038759689923,A
78,Y,0.3531984782717994,A
79,X,20.41343669250646,A
79,Y,0.3435619836095795,A
80,X,20.671834625322997,A
80,Y,0.3326685548609831,A
81,X,20.930232558139537,A
81,Y,0.3200992139972179,A
82,X,21.188630490956072,A
82,Y,0.3196802359684258,A
83,X,21.44702842377261,A
83,Y,0.3184233018820493,A
84,X,21.705426356589147,A
84,Y,0.2957984883272721,A
85,X,21.963824289405686,A
85,Y,0.2932846201545191,A
86,X,22.22222222222222,A
86,Y,0.2840671035210913,A
87,X,22.48062015503876,A
87,Y,0.2802963012619618,A
88,X,22.739018087855296,A
88,Y,0.2802963012619618,A
89,X,22.997416020671835,A
89,Y,0.2790393671755853,A
90,X,23.25581395348837,A
90,Y,0.2752685649164558,A
91,X,23.51421188630491,A
91,Y,0.2735926528012871,A
92,X,23.772609819121445,A
92,Y,0.2706598065997419,A
93,X,24.031007751937985,A
93,Y,0.2572525096783924,A
94,X,24.289405684754524,A
94,Y,0.2467780589585882,A
95,X,24.54780361757106,A
95,Y,0.243845212757043,A
96,X,24.8062015503876,A
96,Y,0.24133134458429,A
97,X,25.064599483204134,A
97,Y,0.2321138279508622,A
98,X,25.322997416020673,A
98,Y,0.2283430256917327,A
99,X,25.58139534883721,A
99,Y,0.2262481355477718,A
100,X,25.839793281653748,A
100,Y,0.2228963113174344,A
101,X,26.098191214470283,A
101,Y,0.221639377231058,A
102,X,26.356589147286822,A
102,Y,0.2203824431446815,A
103,X,26.614987080103358,A
103,Y,0.2195444870870971,A
104,X,26.873385012919897,A
104,Y,0.2132598166552146,A
105,X,27.131782945736433,A
105,Y,0.209489014396085,A
106,X,27.39018087855297,A
106,Y,0.2090700363672929,A
107,X,27.64857881136951,A
107,Y,0.2082320803097085,A
108,X,27.906976744186046,A
108,Y,0.2073941242521242,A
109,X,28.165374677002585,A
109,Y,0.201947409877826,A
110,X,28.42377260981912,A
110,Y,0.1960817174747356,A
111,X,28.68217054263566,A
111,Y,0.1851882887261391,A
112,X,28.940568475452196,A
112,Y,0.1705240577184132,A
113,X,29.198966408268735,A
113,Y,0.170105079689621,A
114,X,29.45736434108527,A
114,Y,0.1671722334880759,A
115,X,29.71576227390181,A
115,Y,0.1638204092577385,A
116,X,29.974160206718345,A
116,Y,0.1638204092577385,A
117,X,30.232558139534884,A
117,Y,0.1566977827682716,A
118,X,30.49095607235142,A
118,Y,0.1554408486818951,A
119,X,30.74935400516796,A
119,Y,0.1541839145955186,A
120,X,31.007751937984494,A
120,Y,0.1520890244515577,A
121,X,31.266149870801033,A
121,Y,0.1470612881060517,A
122,X,31.524547803617573,A
122,Y,0.1466423100772595,A
123,X,31.782945736434108,A
123,Y,0.1458043540196752,A
124,X,32.041343669250644,A
124,Y,0.1403576396453769,A
125,X,32.299741602067186,A
125,Y,0.1386817275302083,A
126,X,32.55813953488372,A
126,Y,0.1374247934438318,A
127,X,32.81653746770026,A
127,Y,0.1357488813286631,A
128,X,33.07493540051679,A
128,Y,0.1336539911847022,A
129,X,33.333333333333336,A
129,Y,0.1315591010407414,A
130,X,33.59173126614987,A
130,Y,0.1311401230119492,A
131,X,33.85012919896641,A
131,Y,0.1294642108967805,A
132,X,34.10852713178294,A
132,Y,0.1215036283497293,A
133,X,34.366925064599485,A
133,Y,0.1202466942633528,A
134,X,34.62532299741602,A
134,Y,0.1189897601769763,A
135,X,34.883720930232556,A
135,Y,0.1185707821481841,A
136,X,35.1421188630491,A
136,Y,0.1181518041193919,A
137,X,35.400516795865634,A
137,Y,0.1152189579178467,A
138,X,35.65891472868217,A
138,Y,0.1147999798890546,A
139,X,35.917312661498705,A
139,Y,0.1106101996011329,A
140,X,36.17571059431525,A
140,Y,0.1080963314283798,A
141,X,36.434108527131784,A
141,Y,0.1072583753707955,A
142,X,36.69250645994832,A
142,Y,0.1055824632556268,A
143,X,36.950904392764855,A
143,Y,0.1047445071980425,A
144,X,37.2093023255814,A
144,Y,0.100973704938913,A
145,X,37.46770025839793,A
145,Y,0.1005547269101208,A
146,X,37.72609819121447,A
146,Y,0.1001357488813286,A
147,X,37.98449612403101,A
147,Y,0.0984598367661599,A
148,X,38.24289405684755,A
148,Y,0.0976218807085756,A
149,X,38.50129198966408,A
149,Y,0.0963649466221991,A
150,X,38.75968992248062,A
150,Y,0.0951080125358226,A
151,X,39.01808785529716,A
151,Y,0.0909182322479009,A
152,X,39.276485788113696,A
152,Y,0.0896612981615244,A
153,X,39.53488372093023,A
153,Y,0.0896612981615244,A
154,X,39.79328165374677,A
154,Y,0.0875664080175635,A
155,X,40.05167958656331,A
155,Y,0.0871474299887713,A
156,X,40.310077519379846,A
156,Y,0.0867284519599792,A
157,X,40.56847545219638,A
157,Y,0.0858904959023948,A
158,X,40.82687338501292,A
158,Y,0.083795605758434,A
159,X,41.08527131782946,A
159,Y,0.083795605758434,A
160,X,41.343669250645995,A
160,Y,0.0829576497008496,A
161,X,41.60206718346253,A
161,Y,0.0825386716720575,A
162,X,41.86046511627907,A
162,Y,0.0804437815280966,A
163,X,42.11886304909561,A
163,Y,0.0787678694129279,A
164,X,42.377260981912144,A
164,Y,0.0754160451825906,A
165,X,42.63565891472868,A
165,Y,0.0754160451825906,A
166,X,42.89405684754522,A
166,Y,0.0749970671537984,A
167,X,43.15245478036176,A
167,Y,0.0749970671537984,A
168,X,43.41085271317829,A
168,Y,0.0741591110962141,A
169,X,43.66925064599483,A
169,Y,0.0737401330674219,A
170,X,43.92764857881137,A
170,Y,0.0737401330674219,A
171,X,44.18604651162791,A
171,Y,0.0724831989810454,A
172,X,44.44444444444444,A
172,Y,0.0720642209522532,A
173,X,44.70284237726098,A
173,Y,0.0695503527795002,A
174,X,44.96124031007752,A
174,Y,0.0695503527795002,A
175,X,45.21963824289406,A
175,Y,0.069131374750708,A
176,X,45.47803617571059,A
176,Y,0.066617506577955,A
177,X,45.736434108527135,A
